cv_id,account_id,list_id,created_date,updated_date,use_ad,have_mini_cv
10569,18204527,,1/13/2021,1/16/2021,0,0
10570,19020560,,1/13/2021,1/13/2021,1,1
10571,5188731,,1/13/2021,1/13/2021,0,0
10572,19020941,,1/13/2021,1/13/2021,0,0
10573,11118596,,1/13/2021,1/13/2021,0,0
10574,19020882,,1/13/2021,1/13/2021,1,0
10575,3824256,,1/13/2021,1/13/2021,0,0
10576,19021532,,1/13/2021,1/13/2021,0,0
10577,10164476,,1/13/2021,1/13/2021,0,0
10578,19022298,,1/13/2021,1/14/2021,0,0
10579,4590979,,1/13/2021,1/13/2021,0,0
10580,19022772,,1/13/2021,1/13/2021,1,0
10581,19023112,,1/13/2021,1/13/2021,0,0
10582,9762429,,1/13/2021,1/13/2021,0,0
10583,5337933,,1/13/2021,1/13/2021,0,0
10584,13003040,,1/13/2021,1/13/2021,1,0
10585,15814247,,1/13/2021,1/13/2021,1,0
10586,412604,,1/13/2021,1/13/2021,0,0
10587,11290328,,1/13/2021,1/13/2021,0,0
10588,19025300,,1/13/2021,1/13/2021,0,0
10589,16804126,,1/13/2021,1/13/2021,0,0
10590,18822998,,1/13/2021,1/13/2021,0,0
10591,14001334,,1/13/2021,1/13/2021,0,0
10592,19025553,,1/13/2021,1/13/2021,0,0
10593,18968750,,1/13/2021,1/13/2021,0,0
10594,73564,,1/13/2021,1/13/2021,1,0
10595,18824447,,1/13/2021,1/13/2021,0,0
10596,12941832,,1/13/2021,1/13/2021,0,0
10597,19015319,,1/13/2021,1/13/2021,0,0
10598,17864203,,1/13/2021,1/13/2021,0,0
10599,15415250,,1/14/2021,1/14/2021,0,0
10600,19025510,,1/14/2021,1/17/2021,0,0
10601,18237012,,1/14/2021,1/14/2021,0,0
10602,14550651,,1/14/2021,1/14/2021,0,0
10603,14861971,,1/14/2021,1/14/2021,0,0
10604,18862464,,1/14/2021,1/14/2021,0,0
10605,10673054,,1/14/2021,1/14/2021,0,0
10606,17036719,,1/14/2021,1/14/2021,0,0
10607,4665453,,1/14/2021,1/14/2021,0,0
10608,2459785,,1/14/2021,1/14/2021,0,0
10609,19030517,,1/14/2021,1/14/2021,0,0
10610,18093034,,1/14/2021,1/14/2021,0,0
10611,14505481,,1/14/2021,1/14/2021,0,0
10612,17582077,,1/14/2021,1/14/2021,0,0
10613,19031455,,1/14/2021,1/14/2021,0,0
10614,19031484,,1/14/2021,1/14/2021,0,0
10615,15935395,,1/14/2021,1/14/2021,0,0
10616,14581771,,1/14/2021,1/14/2021,1,0
10617,18590620,,1/14/2021,1/14/2021,0,0
10618,19026655,,1/14/2021,1/14/2021,1,0
10619,12637906,,1/15/2021,1/15/2021,0,0
10620,14209190,,1/15/2021,1/15/2021,0,0
10621,17694079,,1/15/2021,1/15/2021,1,0
10622,1984629,,1/15/2021,1/15/2021,0,0
10623,12434307,,1/15/2021,1/15/2021,0,0
10624,19035595,,1/15/2021,1/15/2021,0,0
10625,19035398,,1/15/2021,1/15/2021,0,0
10626,11057705,,1/15/2021,1/15/2021,0,0
10627,10314990,,1/15/2021,1/15/2021,1,0
10628,13196519,,1/15/2021,1/15/2021,0,0
10629,2041944,,1/15/2021,1/15/2021,0,0
10630,18054642,,1/15/2021,1/15/2021,0,0
10631,4400758,,1/15/2021,1/15/2021,0,0
10632,19039098,,1/15/2021,1/15/2021,0,0
10633,15729409,,1/15/2021,1/15/2021,0,0
10634,15124004,,1/15/2021,1/15/2021,0,0
10635,19040192,,1/15/2021,1/15/2021,0,0
10636,19033465,,1/15/2021,1/15/2021,0,0
10637,19040484,,1/15/2021,1/15/2021,0,0
10638,10021842,,1/15/2021,1/15/2021,1,1
10639,18728537,,1/16/2021,1/16/2021,0,0
10640,10115097,,1/16/2021,1/16/2021,0,0
10641,19031397,,1/16/2021,1/16/2021,0,0
10642,14344341,,1/16/2021,1/16/2021,0,0
10643,17345995,,1/16/2021,1/16/2021,0,0
10644,4489140,,1/16/2021,1/16/2021,0,0
10645,19042126,,1/16/2021,1/16/2021,1,0
10646,14506999,,1/16/2021,1/16/2021,0,0
10647,19044286,,1/16/2021,1/16/2021,0,0
10648,11245371,,1/16/2021,1/16/2021,1,0
10649,16510271,,1/16/2021,1/16/2021,0,0
10650,10626079,,1/16/2021,1/16/2021,0,0
10651,19028064,,1/16/2021,1/16/2021,0,0
10652,19045311,,1/16/2021,1/16/2021,0,0
10653,19045325,,1/16/2021,1/16/2021,0,0
10654,18084192,,1/16/2021,1/16/2021,0,0
10655,10398857,,1/16/2021,1/16/2021,0,1
10656,17015207,,1/16/2021,1/16/2021,0,0
10657,5403595,,1/16/2021,1/16/2021,0,0
10658,9774120,,1/16/2021,1/23/2021,0,0
10659,11008766,,1/16/2021,1/16/2021,0,0
10660,19046708,,1/16/2021,1/16/2021,0,0
10661,18005145,,1/16/2021,1/16/2021,0,0
10662,19048558,,1/17/2021,1/17/2021,0,0
10663,10048623,,1/17/2021,1/17/2021,0,1
10664,18956226,,1/17/2021,1/17/2021,0,0
10665,2215479,,1/17/2021,1/20/2021,0,0
10666,646660,,1/17/2021,1/17/2021,1,0
10667,12541811,,1/17/2021,1/17/2021,0,0
10668,16208405,,1/17/2021,1/17/2021,1,0
10669,19051646,,1/17/2021,1/17/2021,0,0
10670,19048718,,1/17/2021,1/17/2021,0,0
10671,5167904,,1/17/2021,1/17/2021,0,0
10672,9324940,,1/17/2021,1/17/2021,0,0
10673,15865204,,1/17/2021,1/17/2021,0,0
10674,18787801,,1/17/2021,1/17/2021,1,0
10675,4162900,,1/17/2021,1/17/2021,0,0
10676,9665850,,1/17/2021,1/17/2021,1,0
10677,18720314,,1/17/2021,1/17/2021,0,0
10678,9625057,,1/17/2021,1/17/2021,1,0
10679,19045198,,1/17/2021,1/17/2021,0,0
10680,3108517,,1/17/2021,1/17/2021,0,0
10681,2860257,,1/17/2021,1/17/2021,0,0
10682,19053891,,1/18/2021,1/18/2021,0,0
10683,16558619,,1/18/2021,1/18/2021,0,0
10684,12663465,,1/18/2021,1/18/2021,1,0
10685,11377144,,1/18/2021,1/18/2021,0,0
10686,18989956,,1/18/2021,1/18/2021,0,0
10687,18742500,,1/18/2021,1/18/2021,0,0
10688,14755570,,1/18/2021,1/25/2021,0,0
10689,17454351,,1/18/2021,1/18/2021,0,0
10690,16965724,,1/18/2021,1/18/2021,0,0
10691,19057796,,1/18/2021,1/18/2021,0,1
10692,19008020,,1/18/2021,1/18/2021,0,0
10693,19047665,,1/18/2021,1/18/2021,0,0
10694,18245716,,1/18/2021,1/18/2021,0,0
10695,10802041,,1/18/2021,1/18/2021,0,0
10696,19020742,,1/18/2021,1/18/2021,0,0
10697,18450298,,1/18/2021,1/18/2021,0,0
10698,18998032,,1/18/2021,1/18/2021,1,0
10699,16712473,,1/18/2021,1/18/2021,1,0
10700,17470864,,1/18/2021,1/18/2021,1,0
10701,11364529,,1/18/2021,1/18/2021,0,0
10702,13266674,,1/18/2021,1/18/2021,0,0
10703,5540374,,1/18/2021,1/18/2021,0,0
10704,18713113,,1/18/2021,1/18/2021,1,0
10705,2971596,,1/18/2021,1/18/2021,1,0
10706,16132785,,1/18/2021,1/18/2021,0,0
10707,19044498,,1/18/2021,1/18/2021,0,0
10708,17712184,,1/19/2021,1/27/2021,0,0
10709,12465104,,1/19/2021,1/19/2021,0,0
10710,15836244,,1/19/2021,1/19/2021,0,0
10711,5312062,,1/19/2021,1/19/2021,1,0
10712,18991139,,1/19/2021,1/19/2021,1,0
10713,11981703,,1/19/2021,1/19/2021,0,0
10714,2692723,,1/19/2021,1/19/2021,1,0
10715,12309680,,1/19/2021,1/19/2021,1,0
10716,16547993,,1/19/2021,1/19/2021,1,0
10717,19064900,,1/19/2021,1/22/2021,0,0
10718,18158507,,1/19/2021,1/19/2021,0,0
10719,15177488,,1/19/2021,1/19/2021,0,0
10720,17551477,,1/19/2021,1/19/2021,0,0
10721,19030405,,1/19/2021,1/19/2021,0,0
10722,2353957,,1/19/2021,1/19/2021,0,0
10723,19066178,,1/19/2021,1/19/2021,0,1
10724,18983814,,1/19/2021,1/19/2021,1,0
10725,5271988,,1/19/2021,1/19/2021,0,0
10726,3907612,,1/19/2021,1/19/2021,0,0
10727,17696098,,1/19/2021,1/19/2021,0,0
10728,19067892,,1/19/2021,1/19/2021,0,0
10729,2191499,,1/19/2021,1/19/2021,0,0
10730,18989301,,1/19/2021,1/19/2021,1,0
10731,19068298,,1/19/2021,1/19/2021,0,0
10732,11046578,,1/19/2021,1/19/2021,0,0
10733,18917628,,1/19/2021,1/19/2021,0,1
10734,19069157,,1/19/2021,1/19/2021,1,0
10735,3201518,,1/19/2021,1/19/2021,1,0
10736,19058386,,1/19/2021,1/19/2021,0,0
10737,343138,,1/20/2021,1/20/2021,0,0
10738,19070133,,1/20/2021,1/20/2021,0,0
10739,18555425,,1/20/2021,1/20/2021,0,0
10740,16277600,,1/20/2021,1/20/2021,1,0
10741,11348673,,1/20/2021,1/20/2021,1,0
10742,3539644,,1/20/2021,1/20/2021,0,0
10743,767526,,1/20/2021,1/20/2021,0,0
10744,18859151,,1/20/2021,1/20/2021,0,0
10745,12793011,,1/20/2021,1/20/2021,0,1
10746,19071888,,1/20/2021,1/20/2021,0,0
10747,18912791,,1/20/2021,1/20/2021,1,0
10748,18060046,,1/20/2021,1/20/2021,0,0
